state,abbr,fips,obs_date,first_release_date,value_first_release,is_current,pub_lag_days
Alabama,AL,01,2007-06-01,2007-07-20,3.5,False,49
Alabama,AL,01,2007-07-01,2007-08-17,3.7,False,47
Alabama,AL,01,2007-08-01,2007-09-25,3.8,False,55
Alabama,AL,01,2007-09-01,2007-10-19,3.7,False,48
Alabama,AL,01,2007-10-01,2007-11-20,3.1,False,50
Alabama,AL,01,2007-11-01,2007-12-21,3.5,False,50
Alabama,AL,01,2007-12-01,2008-01-18,4.0,False,48
Alabama,AL,01,2008-01-01,2008-03-11,4.0,False,70
Alabama,AL,01,2008-02-01,2008-03-28,3.7,False,56
Alabama,AL,01,2008-03-01,2008-04-18,4.1,False,48
Alabama,AL,01,2008-04-01,2008-05-16,4.0,False,45
Alabama,AL,01,2008-05-01,2008-06-20,4.7,False,50
Alabama,AL,01,2008-06-01,2008-07-18,4.7,False,47
Alabama,AL,01,2008-07-01,2008-08-15,5.1,False,45
Alabama,AL,01,2008-08-01,2008-09-19,4.9,False,49
Alabama,AL,01,2008-09-01,2008-10-21,5.3,False,50
Alabama,AL,01,2008-10-01,2008-11-21,5.6,False,51
Alabama,AL,01,2008-11-01,2008-12-19,6.1,False,48
Alabama,AL,01,2008-12-01,2009-01-27,6.7,False,57
Alabama,AL,01,2009-01-01,2009-03-11,7.8,False,69
Alabama,AL,01,2009-02-01,2009-03-27,8.4,False,54
Alabama,AL,01,2009-03-01,2009-04-17,9.0,False,47
Alabama,AL,01,2009-04-01,2009-05-22,9.0,False,51
Alabama,AL,01,2009-05-01,2009-06-19,9.8,False,49
Alabama,AL,01,2009-06-01,2009-07-17,10.1,False,46
Alabama,AL,01,2009-07-01,2009-08-21,10.2,False,51
Alabama,AL,01,2009-08-01,2009-09-18,10.4,False,48
Alabama,AL,01,2009-09-01,2009-10-21,10.7,False,50
Alabama,AL,01,2009-10-01,2009-11-20,10.9,False,50
Alabama,AL,01,2009-11-01,2009-12-18,10.5,False,47
Alabama,AL,01,2009-12-01,2010-01-22,11.0,False,52
Alabama,AL,01,2010-01-01,2010-03-10,11.1,False,68
Alabama,AL,01,2010-02-01,2010-03-26,11.1,False,53
Alabama,AL,01,2010-03-01,2010-04-16,11.0,False,46
Alabama,AL,01,2010-04-01,2010-05-21,11.0,False,50
Alabama,AL,01,2010-05-01,2010-06-18,10.8,False,48
Alabama,AL,01,2010-06-01,2010-07-20,10.3,False,49
Alabama,AL,01,2010-07-01,2010-08-20,9.7,False,50
Alabama,AL,01,2010-08-01,2010-09-21,9.2,False,51
Alabama,AL,01,2010-09-01,2010-10-22,8.9,False,51
Alabama,AL,01,2010-10-01,2010-11-23,8.9,False,53
Alabama,AL,01,2010-11-01,2010-12-17,9.0,False,46
Alabama,AL,01,2010-12-01,2011-01-25,9.1,False,55
Alabama,AL,01,2011-01-01,2011-03-10,9.3,False,68
Alabama,AL,01,2011-02-01,2011-03-25,9.3,False,52
Alabama,AL,01,2011-03-01,2011-04-19,9.2,False,49
Alabama,AL,01,2011-04-01,2011-05-20,9.3,False,49
Alabama,AL,01,2011-05-01,2011-06-17,9.6,False,47
Alabama,AL,01,2011-06-01,2011-07-22,9.9,False,51
Alabama,AL,01,2011-07-01,2011-08-19,10.0,False,49
Alabama,AL,01,2011-08-01,2011-09-16,9.9,False,46
Alabama,AL,01,2011-09-01,2011-10-21,9.8,False,50
Alabama,AL,01,2011-10-01,2011-11-22,9.3,False,52
Alabama,AL,01,2011-11-01,2011-12-20,8.7,False,49
Alabama,AL,01,2011-12-01,2012-01-24,8.1,False,54
