state,abbr,fips,obs_date,first_release_date,value_first_release,value_current,revision,pub_lag_days,is_current
Alabama,AL,01,2007-06-01,2007-07-20,3.5,4.0,0.5,49,False
Alabama,AL,01,2007-07-01,2007-08-17,3.7,4.0,0.2999999999999998,47,False
Alabama,AL,01,2007-08-01,2007-09-25,3.8,4.1,0.2999999999999998,55,False
Alabama,AL,01,2007-09-01,2007-10-19,3.7,4.2,0.5,48,False
Alabama,AL,01,2007-10-01,2007-11-20,3.1,4.2,1.1,50,False
Alabama,AL,01,2007-11-01,2007-12-21,3.5,4.3,0.7999999999999998,50,False
Alabama,AL,01,2007-12-01,2008-01-18,4.0,4.5,0.5,48,False
Alabama,AL,01,2008-01-01,2008-03-11,4.0,4.6,0.5999999999999996,70,False
Alabama,AL,01,2008-02-01,2008-03-28,3.7,4.7,1.0,56,False
Alabama,AL,01,2008-03-01,2008-04-18,4.1,4.9,0.8000000000000007,48,False
Alabama,AL,01,2008-04-01,2008-05-16,4.0,5.2,1.2000000000000002,45,False
Alabama,AL,01,2008-05-01,2008-06-20,4.7,5.4,0.7000000000000002,50,False
Alabama,AL,01,2008-06-01,2008-07-18,4.7,5.7,1.0,47,False
Alabama,AL,01,2008-07-01,2008-08-15,5.1,6.0,0.9000000000000004,45,False
Alabama,AL,01,2008-08-01,2008-09-19,4.9,6.3,1.3999999999999995,49,False
Alabama,AL,01,2008-09-01,2008-10-21,5.3,6.5,1.2000000000000002,50,False
Alabama,AL,01,2008-10-01,2008-11-21,5.6,6.9,1.3000000000000007,51,False
Alabama,AL,01,2008-11-01,2008-12-19,6.1,7.2,1.1000000000000005,48,False
Alabama,AL,01,2008-12-01,2009-01-27,6.7,7.6,0.8999999999999995,57,False
Alabama,AL,01,2009-01-01,2009-03-11,7.8,8.0,0.20000000000000018,69,False
Alabama,AL,01,2009-02-01,2009-03-27,8.4,8.4,0.0,54,False
Alabama,AL,01,2009-03-01,2009-04-17,9.0,8.8,-0.1999999999999993,47,False
Alabama,AL,01,2009-04-01,2009-05-22,9.0,9.1,0.09999999999999964,51,False
Alabama,AL,01,2009-05-01,2009-06-19,9.8,9.4,-0.40000000000000036,49,False
Alabama,AL,01,2009-06-01,2009-07-17,10.1,9.7,-0.40000000000000036,46,False
Alabama,AL,01,2009-07-01,2009-08-21,10.2,10.0,-0.1999999999999993,51,False
Alabama,AL,01,2009-08-01,2009-09-18,10.4,10.3,-0.09999999999999964,48,False
Alabama,AL,01,2009-09-01,2009-10-21,10.7,10.5,-0.1999999999999993,50,False
Alabama,AL,01,2009-10-01,2009-11-20,10.9,10.7,-0.20000000000000107,50,False
Alabama,AL,01,2009-11-01,2009-12-18,10.5,10.9,0.40000000000000036,47,False
Alabama,AL,01,2009-12-01,2010-01-22,11.0,11.0,0.0,52,False
Alabama,AL,01,2010-01-01,2010-03-10,11.1,11.0,-0.09999999999999964,68,False
Alabama,AL,01,2010-02-01,2010-03-26,11.1,11.0,-0.09999999999999964,53,False
Alabama,AL,01,2010-03-01,2010-04-16,11.0,10.9,-0.09999999999999964,46,False
Alabama,AL,01,2010-04-01,2010-05-21,11.0,10.5,-0.5,50,False
Alabama,AL,01,2010-05-01,2010-06-18,10.8,10.3,-0.5,48,False
Alabama,AL,01,2010-06-01,2010-07-20,10.3,10.2,-0.10000000000000142,49,False
Alabama,AL,01,2010-07-01,2010-08-20,9.7,10.1,0.40000000000000036,50,False
Alabama,AL,01,2010-08-01,2010-09-21,9.2,10.1,0.9000000000000004,51,False
Alabama,AL,01,2010-09-01,2010-10-22,8.9,10.1,1.1999999999999993,51,False
Alabama,AL,01,2010-10-01,2010-11-23,8.9,10.1,1.1999999999999993,53,False
Alabama,AL,01,2010-11-01,2010-12-17,9.0,10.1,1.0999999999999996,46,False
Alabama,AL,01,2010-12-01,2011-01-25,9.1,10.1,1.0,55,False
Alabama,AL,01,2011-01-01,2011-03-10,9.3,10.1,0.7999999999999989,68,False
Alabama,AL,01,2011-02-01,2011-03-25,9.3,10.0,0.6999999999999993,52,False
Alabama,AL,01,2011-03-01,2011-04-19,9.2,9.9,0.7000000000000011,49,False
Alabama,AL,01,2011-04-01,2011-05-20,9.3,9.9,0.5999999999999996,49,False
Alabama,AL,01,2011-05-01,2011-06-17,9.6,9.8,0.20000000000000107,47,False
Alabama,AL,01,2011-06-01,2011-07-22,9.9,9.8,-0.09999999999999964,51,False
Alabama,AL,01,2011-07-01,2011-08-19,10.0,9.7,-0.3000000000000007,49,False
Alabama,AL,01,2011-08-01,2011-09-16,9.9,9.5,-0.40000000000000036,46,False
Alabama,AL,01,2011-09-01,2011-10-21,9.8,9.3,-0.5,50,False
Alabama,AL,01,2011-10-01,2011-11-22,9.3,9.1,-0.20000000000000107,52,False
Alabama,AL,01,2011-11-01,2011-12-20,8.7,8.9,0.20000000000000107,49,False
Alabama,AL,01,2011-12-01,2012-01-24,8.1,8.7,0.5999999999999996,54,False
Alabama,AL,01,2012-01-01,2012-03-13,7.8,8.6,0.7999999999999998,72,False
Alabama,AL,01,2012-02-01,2012-03-30,7.6,8.5,0.9000000000000004,58,False
Alabama,AL,01,2012-03-01,2012-04-20,7.3,8.4,1.1000000000000005,50,False
Alabama,AL,01,2012-04-01,2012-05-18,7.2,8.4,1.2000000000000002,47,False
Alabama,AL,01,2012-05-01,2012-06-15,7.4,8.4,1.0,45,False
Alabama,AL,01,2012-06-01,2012-07-20,7.8,8.3,0.5000000000000009,49,False
Alabama,AL,01,2012-07-01,2012-08-17,8.3,8.2,-0.10000000000000142,47,False
Alabama,AL,01,2012-08-01,2012-09-21,8.5,8.1,-0.40000000000000036,51,False
