as_of_date,state,ur_t0,ur_t1,ur_t2,ur_t3,ur_t4,ur_t5,ur_t6,ur_t7,ur_t8,ur_t9,ur_t10,ur_t11,ur_t12,ur_latest_obs,ur_lag_months,ur_mom1_chg,ur_mom3_chg,ur_yoy_chg
2008-08-01,Alabama,4.7,4.7,4.0,4.1,3.7,4.0,4.0,3.5,3.1,3.7,3.8,3.7,3.5,2008-06-01,2,0.0,0.6000000000000005,1.2000000000000002
2008-09-01,Alabama,5.1,4.7,4.7,4.0,4.1,3.7,4.0,4.0,3.5,3.1,3.7,3.8,3.7,2008-07-01,2,0.39999999999999947,1.0999999999999996,1.3999999999999995
2008-10-01,Alabama,4.9,5.1,4.7,4.7,4.0,4.1,3.7,4.0,4.0,3.5,3.1,3.7,3.8,2008-08-01,2,-0.1999999999999993,0.20000000000000018,1.1000000000000005
2008-11-01,Alabama,5.3,4.9,5.1,4.7,4.7,4.0,4.1,3.7,4.0,4.0,3.5,3.1,3.7,2008-09-01,2,0.39999999999999947,0.5999999999999996,1.5999999999999996
2008-12-01,Alabama,5.6,5.3,4.9,5.1,4.7,4.7,4.0,4.1,3.7,4.0,4.0,3.5,3.1,2008-10-01,2,0.2999999999999998,0.5,2.4999999999999996
2009-01-01,Alabama,6.1,5.6,5.3,4.9,5.1,4.7,4.7,4.0,4.1,3.7,4.0,4.0,3.5,2008-11-01,2,0.5,1.1999999999999993,2.5999999999999996
2009-02-01,Alabama,6.7,6.1,5.6,5.3,4.9,5.1,4.7,4.7,4.0,4.1,3.7,4.0,4.0,2008-12-01,2,0.6000000000000005,1.4000000000000004,2.7
2009-03-01,Alabama,6.7,6.1,5.6,5.3,4.9,5.1,4.7,4.7,4.0,4.1,3.7,4.0,4.0,2008-12-01,3,0.6000000000000005,1.4000000000000004,2.7
2009-04-01,Alabama,8.4,7.8,6.7,6.1,5.6,5.3,4.9,5.1,4.7,4.7,4.0,4.1,3.7,2009-02-01,2,0.6000000000000005,2.3000000000000007,4.7
2009-05-01,Alabama,9.0,8.4,7.8,6.7,6.1,5.6,5.3,4.9,5.1,4.7,4.7,4.0,4.1,2009-03-01,2,0.5999999999999996,2.3,4.9
2009-06-01,Alabama,9.0,9.0,8.4,7.8,6.7,6.1,5.6,5.3,4.9,5.1,4.7,4.7,4.0,2009-04-01,2,0.0,1.2000000000000002,5.0
2009-07-01,Alabama,9.8,9.0,9.0,8.4,7.8,6.7,6.1,5.6,5.3,4.9,5.1,4.7,4.7,2009-05-01,2,0.8000000000000007,1.4000000000000004,5.1000000000000005
2009-08-01,Alabama,10.1,9.8,9.0,9.0,8.4,7.8,6.7,6.1,5.6,5.3,4.9,5.1,4.7,2009-06-01,2,0.29999999999999893,1.0999999999999996,5.3999999999999995
2009-09-01,Alabama,10.2,10.1,9.8,9.0,9.0,8.4,7.8,6.7,6.1,5.6,5.3,4.9,5.1,2009-07-01,2,0.09999999999999964,1.1999999999999993,5.1
