as_of_date,state,ur_t0,ur_t1,ur_t2,ur_t3,ur_t4,ur_t5,ur_t6,ur_t7,ur_t8,ur_t9,ur_t10,ur_t11,ur_t12,ur_latest_obs,ur_lag_months,ur_mom1_chg,ur_mom3_chg,ur_yoy_chg
2009-10-01,Alabama,10.4,10.2,10.1,9.8,9.0,9.0,8.4,7.8,6.7,6.1,5.6,5.3,4.9,2009-08-01,2,0.20000000000000107,0.5999999999999996,5.5
2009-11-01,Alabama,10.7,10.4,10.2,10.1,9.8,9.0,9.0,8.4,7.8,6.7,6.1,5.6,5.3,2009-09-01,2,0.29999999999999893,0.5999999999999996,5.3999999999999995
2009-12-01,Alabama,10.9,10.7,10.4,10.2,10.1,9.8,9.0,9.0,8.4,7.8,6.7,6.1,5.6,2009-10-01,2,0.20000000000000107,0.7000000000000011,5.300000000000001
2010-01-01,Alabama,10.5,10.9,10.7,10.4,10.2,10.1,9.8,9.0,9.0,8.4,7.8,6.7,6.1,2009-11-01,2,-0.40000000000000036,0.09999999999999964,4.4
2010-02-01,Alabama,11.0,10.5,10.9,10.7,10.4,10.2,10.1,9.8,9.0,9.0,8.4,7.8,6.7,2009-12-01,2,0.5,0.3000000000000007,4.3
2010-03-01,Alabama,11.0,10.5,10.9,10.7,10.4,10.2,10.1,9.8,9.0,9.0,8.4,7.8,6.7,2009-12-01,3,0.5,0.3000000000000007,4.3
2010-04-01,Alabama,11.1,11.1,11.0,10.5,10.9,10.7,10.4,10.2,10.1,9.8,9.0,9.0,8.4,2010-02-01,2,0.0,0.5999999999999996,2.6999999999999993
2010-05-01,Alabama,11.0,11.1,11.1,11.0,10.5,10.9,10.7,10.4,10.2,10.1,9.8,9.0,9.0,2010-03-01,2,-0.09999999999999964,0.0,2.0
2010-06-01,Alabama,11.0,11.0,11.1,11.1,11.0,10.5,10.9,10.7,10.4,10.2,10.1,9.8,9.0,2010-04-01,2,0.0,-0.09999999999999964,2.0
2010-07-01,Alabama,10.8,11.0,11.0,11.1,11.1,11.0,10.5,10.9,10.7,10.4,10.2,10.1,9.8,2010-05-01,2,-0.1999999999999993,-0.29999999999999893,1.0
2010-08-01,Alabama,10.3,10.8,11.0,11.0,11.1,11.1,11.0,10.5,10.9,10.7,10.4,10.2,10.1,2010-06-01,2,-0.5,-0.6999999999999993,0.20000000000000107
2010-09-01,Alabama,9.7,10.3,10.8,11.0,11.0,11.1,11.1,11.0,10.5,10.9,10.7,10.4,10.2,2010-07-01,2,-0.6000000000000014,-1.3000000000000007,-0.5
2010-10-01,Alabama,9.2,9.7,10.3,10.8,11.0,11.0,11.1,11.1,11.0,10.5,10.9,10.7,10.4,2010-08-01,2,-0.5,-1.6000000000000014,-1.200000000000001
2010-11-01,Alabama,8.9,9.2,9.7,10.3,10.8,11.0,11.0,11.1,11.1,11.0,10.5,10.9,10.7,2010-09-01,2,-0.29999999999999893,-1.4000000000000004,-1.799999999999999
2010-12-01,Alabama,8.9,8.9,9.2,9.7,10.3,10.8,11.0,11.0,11.1,11.1,11.0,10.5,10.9,2010-10-01,2,0.0,-0.7999999999999989,-2.0
2011-01-01,Alabama,9.0,8.9,8.9,9.2,9.7,10.3,10.8,11.0,11.0,11.1,11.1,11.0,10.5,2010-11-01,2,0.09999999999999964,-0.1999999999999993,-1.5
2011-02-01,Alabama,9.1,9.0,8.9,8.9,9.2,9.7,10.3,10.8,11.0,11.0,11.1,11.1,11.0,2010-12-01,2,0.09999999999999964,0.1999999999999993,-1.9000000000000004
2011-03-01,Alabama,9.1,9.0,8.9,8.9,9.2,9.7,10.3,10.8,11.0,11.0,11.1,11.1,11.0,2010-12-01,3,0.09999999999999964,0.1999999999999993,-1.9000000000000004
2011-04-01,Alabama,9.3,9.3,9.1,9.0,8.9,8.9,9.2,9.7,10.3,10.8,11.0,11.0,11.1,2011-02-01,2,0.0,0.3000000000000007,-1.799999999999999
2011-05-01,Alabama,9.2,9.3,9.3,9.1,9.0,8.9,8.9,9.2,9.7,10.3,10.8,11.0,11.0,2011-03-01,2,-0.10000000000000142,0.09999999999999964,-1.8000000000000007
2011-06-01,Alabama,9.3,9.2,9.3,9.3,9.1,9.0,8.9,8.9,9.2,9.7,10.3,10.8,11.0,2011-04-01,2,0.10000000000000142,0.0,-1.6999999999999993
2011-07-01,Alabama,9.6,9.3,9.2,9.3,9.3,9.1,9.0,8.9,8.9,9.2,9.7,10.3,10.8,2011-05-01,2,0.29999999999999893,0.29999999999999893,-1.200000000000001
2011-08-01,Alabama,9.9,9.6,9.3,9.2,9.3,9.3,9.1,9.0,8.9,8.9,9.2,9.7,10.3,2011-06-01,2,0.3000000000000007,0.7000000000000011,-0.40000000000000036
2011-09-01,Alabama,10.0,9.9,9.6,9.3,9.2,9.3,9.3,9.1,9.0,8.9,8.9,9.2,9.7,2011-07-01,2,0.09999999999999964,0.6999999999999993,0.3000000000000007
2011-10-01,Alabama,9.9,10.0,9.9,9.6,9.3,9.2,9.3,9.3,9.1,9.0,8.9,8.9,9.2,2011-08-01,2,-0.09999999999999964,0.3000000000000007,0.7000000000000011
2011-11-01,Alabama,9.8,9.9,10.0,9.9,9.6,9.3,9.2,9.3,9.3,9.1,9.0,8.9,8.9,2011-09-01,2,-0.09999999999999964,-0.09999999999999964,0.9000000000000004
2011-12-01,Alabama,9.3,9.8,9.9,10.0,9.9,9.6,9.3,9.2,9.3,9.3,9.1,9.0,8.9,2011-10-01,2,-0.5,-0.6999999999999993,0.40000000000000036
2012-01-01,Alabama,8.7,9.3,9.8,9.9,10.0,9.9,9.6,9.3,9.2,9.3,9.3,9.1,9.0,2011-11-01,2,-0.6000000000000014,-1.200000000000001,-0.3000000000000007
2012-02-01,Alabama,8.1,8.7,9.3,9.8,9.9,10.0,9.9,9.6,9.3,9.2,9.3,9.3,9.1,2011-12-01,2,-0.5999999999999996,-1.700000000000001,-1.0
2012-03-01,Alabama,8.1,8.7,9.3,9.8,9.9,10.0,9.9,9.6,9.3,9.2,9.3,9.3,9.1,2011-12-01,3,-0.5999999999999996,-1.700000000000001,-1.0
2012-04-01,Alabama,7.6,7.8,8.1,8.7,9.3,9.8,9.9,10.0,9.9,9.6,9.3,9.2,9.3,2012-02-01,2,-0.20000000000000018,-1.0999999999999996,-1.700000000000001
2012-05-01,Alabama,7.3,7.6,7.8,8.1,8.7,9.3,9.8,9.9,10.0,9.9,9.6,9.3,9.2,2012-03-01,2,-0.2999999999999998,-0.7999999999999998,-1.8999999999999995
2012-06-01,Alabama,7.2,7.3,7.6,7.8,8.1,8.7,9.3,9.8,9.9,10.0,9.9,9.6,9.3,2012-04-01,2,-0.09999999999999964,-0.5999999999999996,-2.1000000000000005
2012-07-01,Alabama,7.4,7.2,7.3,7.6,7.8,8.1,8.7,9.3,9.8,9.9,10.0,9.9,9.6,2012-05-01,2,0.20000000000000018,-0.1999999999999993,-2.1999999999999993
2012-08-01,Alabama,7.8,7.4,7.2,7.3,7.6,7.8,8.1,8.7,9.3,9.8,9.9,10.0,9.9,2012-06-01,2,0.39999999999999947,0.5,-2.1000000000000005
2012-09-01,Alabama,8.3,7.8,7.4,7.2,7.3,7.6,7.8,8.1,8.7,9.3,9.8,9.9,10.0,2012-07-01,2,0.5000000000000009,1.1000000000000005,-1.6999999999999993
2012-10-01,Alabama,8.5,8.3,7.8,7.4,7.2,7.3,7.6,7.8,8.1,8.7,9.3,9.8,9.9,2012-08-01,2,0.1999999999999993,1.0999999999999996,-1.4000000000000004
2012-11-01,Alabama,8.3,8.5,8.3,7.8,7.4,7.2,7.3,7.6,7.8,8.1,8.7,9.3,9.8,2012-09-01,2,-0.1999999999999993,0.5000000000000009,-1.5
2012-12-01,Alabama,8.1,8.3,8.5,8.3,7.8,7.4,7.2,7.3,7.6,7.8,8.1,8.7,9.3,2012-10-01,2,-0.20000000000000107,-0.20000000000000107,-1.200000000000001
2013-01-01,Alabama,7.5,8.1,8.3,8.5,8.3,7.8,7.4,7.2,7.3,7.6,7.8,8.1,8.7,2012-11-01,2,-0.5999999999999996,-1.0,-1.1999999999999993
2013-02-01,Alabama,7.1,7.5,8.1,8.3,8.5,8.3,7.8,7.4,7.2,7.3,7.6,7.8,8.1,2012-12-01,2,-0.40000000000000036,-1.200000000000001,-1.0
2013-03-01,Alabama,7.1,7.5,8.1,8.3,8.5,8.3,7.8,7.4,7.2,7.3,7.6,7.8,8.1,2012-12-01,3,-0.40000000000000036,-1.200000000000001,-1.0
2013-04-01,Alabama,7.2,6.9,7.1,7.5,8.1,8.3,8.5,8.3,7.8,7.4,7.2,7.3,7.6,2013-02-01,2,0.2999999999999998,-0.2999999999999998,-0.39999999999999947
2013-05-01,Alabama,7.2,7.2,6.9,7.1,7.5,8.1,8.3,8.5,8.3,7.8,7.4,7.2,7.3,2013-03-01,2,0.0,0.10000000000000053,-0.09999999999999964
2013-06-01,Alabama,6.9,7.2,7.2,6.9,7.1,7.5,8.1,8.3,8.5,8.3,7.8,7.4,7.2,2013-04-01,2,-0.2999999999999998,0.0,-0.2999999999999998
2013-07-01,Alabama,6.8,6.9,7.2,7.2,6.9,7.1,7.5,8.1,8.3,8.5,8.3,7.8,7.4,2013-05-01,2,-0.10000000000000053,-0.40000000000000036,-0.6000000000000005
2013-08-01,Alabama,6.5,6.8,6.9,7.2,7.2,6.9,7.1,7.5,8.1,8.3,8.5,8.3,7.8,2013-06-01,2,-0.2999999999999998,-0.7000000000000002,-1.2999999999999998
2013-09-01,Alabama,6.3,6.5,6.8,6.9,7.2,7.2,6.9,7.1,7.5,8.1,8.3,8.5,8.3,2013-07-01,2,-0.20000000000000018,-0.6000000000000005,-2.000000000000001
2013-10-01,Alabama,6.3,6.3,6.5,6.8,6.9,7.2,7.2,6.9,7.1,7.5,8.1,8.3,8.5,2013-08-01,2,0.0,-0.5,-2.2
2013-11-01,Alabama,6.3,6.3,6.5,6.8,6.9,7.2,7.2,6.9,7.1,7.5,8.1,8.3,8.5,2013-08-01,3,0.0,-0.5,-2.2
2013-12-01,Alabama,6.5,6.4,6.3,6.3,6.5,6.8,6.9,7.2,7.2,6.9,7.1,7.5,8.1,2013-10-01,2,0.09999999999999964,0.20000000000000018,-1.5999999999999996
2014-01-01,Alabama,6.2,6.5,6.4,6.3,6.3,6.5,6.8,6.9,7.2,7.2,6.9,7.1,7.5,2013-11-01,2,-0.2999999999999998,-0.09999999999999964,-1.2999999999999998
2014-02-01,Alabama,6.1,6.2,6.5,6.4,6.3,6.3,6.5,6.8,6.9,7.2,7.2,6.9,7.1,2013-12-01,2,-0.10000000000000053,-0.3000000000000007,-1.0
2014-03-01,Alabama,6.1,6.2,6.5,6.4,6.3,6.3,6.5,6.8,6.9,7.2,7.2,6.9,7.1,2013-12-01,3,-0.10000000000000053,-0.3000000000000007,-1.0
2014-04-01,Alabama,6.4,6.1,6.1,6.2,6.5,6.4,6.3,6.3,6.5,6.8,6.9,7.2,7.2,2014-02-01,2,0.3000000000000007,0.20000000000000018,-0.7999999999999998
2014-05-01,Alabama,6.7,6.4,6.1,6.1,6.2,6.5,6.4,6.3,6.3,6.5,6.8,6.9,7.2,2014-03-01,2,0.2999999999999998,0.6000000000000005,-0.5
2014-06-01,Alabama,6.9,6.7,6.4,6.1,6.1,6.2,6.5,6.4,6.3,6.3,6.5,6.8,6.9,2014-04-01,2,0.20000000000000018,0.8000000000000007,0.0
2014-07-01,Alabama,6.8,6.9,6.7,6.4,6.1,6.1,6.2,6.5,6.4,6.3,6.3,6.5,6.8,2014-05-01,2,-0.10000000000000053,0.39999999999999947,0.0
2014-08-01,Alabama,6.8,6.8,6.9,6.7,6.4,6.1,6.1,6.2,6.5,6.4,6.3,6.3,6.5,2014-06-01,2,0.0,0.09999999999999964,0.2999999999999998
2014-09-01,Alabama,7.0,6.8,6.8,6.9,6.7,6.4,6.1,6.1,6.2,6.5,6.4,6.3,6.3,2014-07-01,2,0.20000000000000018,0.09999999999999964,0.7000000000000002
2014-10-01,Alabama,6.9,7.0,6.8,6.8,6.9,6.7,6.4,6.1,6.1,6.2,6.5,6.4,6.3,2014-08-01,2,-0.09999999999999964,0.10000000000000053,0.6000000000000005
2014-11-01,Alabama,6.6,6.9,7.0,6.8,6.8,6.9,6.7,6.4,6.1,6.1,6.2,6.5,6.4,2014-09-01,2,-0.3000000000000007,-0.20000000000000018,0.1999999999999993
2014-12-01,Alabama,6.3,6.6,6.9,7.0,6.8,6.8,6.9,6.7,6.4,6.1,6.1,6.2,6.5,2014-10-01,2,-0.2999999999999998,-0.7000000000000002,-0.20000000000000018
2015-01-01,Alabama,6.0,6.3,6.6,6.9,7.0,6.8,6.8,6.9,6.7,6.4,6.1,6.1,6.2,2014-11-01,2,-0.2999999999999998,-0.9000000000000004,-0.20000000000000018
2015-02-01,Alabama,5.7,6.0,6.3,6.6,6.9,7.0,6.8,6.8,6.9,6.7,6.4,6.1,6.1,2014-12-01,2,-0.2999999999999998,-0.8999999999999995,-0.39999999999999947
2015-03-01,Alabama,5.7,6.0,6.3,6.6,6.9,7.0,6.8,6.8,6.9,6.7,6.4,6.1,6.1,2014-12-01,3,-0.2999999999999998,-0.8999999999999995,-0.39999999999999947
2015-04-01,Alabama,5.8,6.0,5.7,6.0,6.3,6.6,6.9,7.0,6.8,6.8,6.9,6.7,6.4,2015-02-01,2,-0.20000000000000018,-0.20000000000000018,-0.6000000000000005
2015-05-01,Alabama,5.7,5.8,6.0,5.7,6.0,6.3,6.6,6.9,7.0,6.8,6.8,6.9,6.7,2015-03-01,2,-0.09999999999999964,0.0,-1.0
2015-06-01,Alabama,5.8,5.7,5.8,6.0,5.7,6.0,6.3,6.6,6.9,7.0,6.8,6.8,6.9,2015-04-01,2,0.09999999999999964,-0.20000000000000018,-1.1000000000000005
2015-07-01,Alabama,6.1,5.8,5.7,5.8,6.0,5.7,6.0,6.3,6.6,6.9,7.0,6.8,6.8,2015-05-01,2,0.2999999999999998,0.2999999999999998,-0.7000000000000002
2015-08-01,Alabama,6.1,6.1,5.8,5.7,5.8,6.0,5.7,6.0,6.3,6.6,6.9,7.0,6.8,2015-06-01,2,0.0,0.39999999999999947,-0.7000000000000002
2015-09-01,Alabama,6.2,6.1,6.1,5.8,5.7,5.8,6.0,5.7,6.0,6.3,6.6,6.9,7.0,2015-07-01,2,0.10000000000000053,0.40000000000000036,-0.7999999999999998
2015-10-01,Alabama,6.2,6.2,6.1,6.1,5.8,5.7,5.8,6.0,5.7,6.0,6.3,6.6,6.9,2015-08-01,2,0.0,0.10000000000000053,-0.7000000000000002
2015-11-01,Alabama,6.0,6.2,6.2,6.1,6.1,5.8,5.7,5.8,6.0,5.7,6.0,6.3,6.6,2015-09-01,2,-0.20000000000000018,-0.09999999999999964,-0.5999999999999996
2015-12-01,Alabama,5.9,6.0,6.2,6.2,6.1,6.1,5.8,5.7,5.8,6.0,5.7,6.0,6.3,2015-10-01,2,-0.09999999999999964,-0.2999999999999998,-0.39999999999999947
2016-01-01,Alabama,6.0,5.9,6.0,6.2,6.2,6.1,6.1,5.8,5.7,5.8,6.0,5.7,6.0,2015-11-01,2,0.09999999999999964,-0.20000000000000018,0.0
2016-02-01,Alabama,6.2,6.0,5.9,6.0,6.2,6.2,6.1,6.1,5.8,5.7,5.8,6.0,5.7,2015-12-01,2,0.20000000000000018,0.20000000000000018,0.5
2016-03-01,Alabama,6.2,6.0,5.9,6.0,6.2,6.2,6.1,6.1,5.8,5.7,5.8,6.0,5.7,2015-12-01,3,0.20000000000000018,0.20000000000000018,0.5
2016-04-01,Alabama,6.2,6.2,6.2,6.0,5.9,6.0,6.2,6.2,6.1,6.1,5.8,5.7,5.8,2016-02-01,2,0.0,0.20000000000000018,0.40000000000000036
2016-05-01,Alabama,6.2,6.2,6.2,6.2,6.0,5.9,6.0,6.2,6.2,6.1,6.1,5.8,5.7,2016-03-01,2,0.0,0.0,0.5
2016-06-01,Alabama,6.1,6.2,6.2,6.2,6.2,6.0,5.9,6.0,6.2,6.2,6.1,6.1,5.8,2016-04-01,2,-0.10000000000000053,-0.10000000000000053,0.2999999999999998
2016-07-01,Alabama,6.1,6.1,6.2,6.2,6.2,6.2,6.0,5.9,6.0,6.2,6.2,6.1,6.1,2016-05-01,2,0.0,-0.10000000000000053,0.0
2016-08-01,Alabama,6.0,6.1,6.1,6.2,6.2,6.2,6.2,6.0,5.9,6.0,6.2,6.2,6.1,2016-06-01,2,-0.09999999999999964,-0.20000000000000018,-0.09999999999999964
2016-09-01,Alabama,5.7,6.0,6.1,6.1,6.2,6.2,6.2,6.2,6.0,5.9,6.0,6.2,6.2,2016-07-01,2,-0.2999999999999998,-0.39999999999999947,-0.5
2016-10-01,Alabama,5.4,5.7,6.0,6.1,6.1,6.2,6.2,6.2,6.2,6.0,5.9,6.0,6.2,2016-08-01,2,-0.2999999999999998,-0.6999999999999993,-0.7999999999999998
2016-11-01,Alabama,5.4,5.4,5.7,6.0,6.1,6.1,6.2,6.2,6.2,6.2,6.0,5.9,6.0,2016-09-01,2,0.0,-0.5999999999999996,-0.5999999999999996
2016-12-01,Alabama,5.7,5.4,5.4,5.7,6.0,6.1,6.1,6.2,6.2,6.2,6.2,6.0,5.9,2016-10-01,2,0.2999999999999998,0.0,-0.20000000000000018
2017-01-01,Alabama,5.9,5.7,5.4,5.4,5.7,6.0,6.1,6.1,6.2,6.2,6.2,6.2,6.0,2016-11-01,2,0.20000000000000018,0.5,-0.09999999999999964
2017-02-01,Alabama,6.2,5.9,5.7,5.4,5.4,5.7,6.0,6.1,6.1,6.2,6.2,6.2,6.2,2016-12-01,2,0.2999999999999998,0.7999999999999998,0.0
2017-03-01,Alabama,6.2,5.9,5.7,5.4,5.4,5.7,6.0,6.1,6.1,6.2,6.2,6.2,6.2,2016-12-01,3,0.2999999999999998,0.7999999999999998,0.0
2017-04-01,Alabama,6.2,6.4,6.2,5.9,5.7,5.4,5.4,5.7,6.0,6.1,6.1,6.2,6.2,2017-02-01,2,-0.20000000000000018,0.2999999999999998,0.0
2017-05-01,Alabama,5.8,6.2,6.4,6.2,5.9,5.7,5.4,5.4,5.7,6.0,6.1,6.1,6.2,2017-03-01,2,-0.40000000000000036,-0.40000000000000036,-0.40000000000000036
2017-06-01,Alabama,5.4,5.8,6.2,6.4,6.2,5.9,5.7,5.4,5.4,5.7,6.0,6.1,6.1,2017-04-01,2,-0.39999999999999947,-1.0,-0.6999999999999993
2017-07-01,Alabama,4.9,5.4,5.8,6.2,6.4,6.2,5.9,5.7,5.4,5.4,5.7,6.0,6.1,2017-05-01,2,-0.5,-1.2999999999999998,-1.1999999999999993
2017-08-01,Alabama,4.6,4.9,5.4,5.8,6.2,6.4,6.2,5.9,5.7,5.4,5.4,5.7,6.0,2017-06-01,2,-0.3000000000000007,-1.2000000000000002,-1.4000000000000004
2017-09-01,Alabama,4.5,4.6,4.9,5.4,5.8,6.2,6.4,6.2,5.9,5.7,5.4,5.4,5.7,2017-07-01,2,-0.09999999999999964,-0.9000000000000004,-1.2000000000000002
2017-10-01,Alabama,4.2,4.5,4.6,4.9,5.4,5.8,6.2,6.4,6.2,5.9,5.7,5.4,5.4,2017-08-01,2,-0.2999999999999998,-0.7000000000000002,-1.2000000000000002
2017-11-01,Alabama,3.8,4.2,4.5,4.6,4.9,5.4,5.8,6.2,6.4,6.2,5.9,5.7,5.4,2017-09-01,2,-0.40000000000000036,-0.7999999999999998,-1.6000000000000005
2017-12-01,Alabama,3.6,3.8,4.2,4.5,4.6,4.9,5.4,5.8,6.2,6.4,6.2,5.9,5.7,2017-10-01,2,-0.19999999999999973,-0.8999999999999999,-2.1
2018-01-01,Alabama,3.5,3.6,3.8,4.2,4.5,4.6,4.9,5.4,5.8,6.2,6.4,6.2,5.9,2017-11-01,2,-0.10000000000000009,-0.7000000000000002,-2.4000000000000004
2018-02-01,Alabama,3.5,3.5,3.6,3.8,4.2,4.5,4.6,4.9,5.4,5.8,6.2,6.4,6.2,2017-12-01,2,0.0,-0.2999999999999998,-2.7
2018-03-01,Alabama,3.5,3.5,3.6,3.8,4.2,4.5,4.6,4.9,5.4,5.8,6.2,6.4,6.2,2017-12-01,3,0.0,-0.2999999999999998,-2.7
2018-04-01,Alabama,3.7,3.7,3.5,3.5,3.6,3.8,4.2,4.5,4.6,4.9,5.4,5.8,6.2,2018-02-01,2,0.0,0.20000000000000018,-2.5
2018-05-01,Alabama,3.8,3.7,3.7,3.5,3.5,3.6,3.8,4.2,4.5,4.6,4.9,5.4,5.8,2018-03-01,2,0.09999999999999964,0.2999999999999998,-2.0
2018-06-01,Alabama,3.8,3.8,3.7,3.7,3.5,3.5,3.6,3.8,4.2,4.5,4.6,4.9,5.4,2018-04-01,2,0.0,0.09999999999999964,-1.6000000000000005
2018-07-01,Alabama,3.9,3.8,3.8,3.7,3.7,3.5,3.5,3.6,3.8,4.2,4.5,4.6,4.9,2018-05-01,2,0.10000000000000009,0.19999999999999973,-1.0000000000000004
2018-08-01,Alabama,4.1,3.9,3.8,3.8,3.7,3.7,3.5,3.5,3.6,3.8,4.2,4.5,4.6,2018-06-01,2,0.19999999999999973,0.2999999999999998,-0.5
2018-09-01,Alabama,4.1,4.1,3.9,3.8,3.8,3.7,3.7,3.5,3.5,3.6,3.8,4.2,4.5,2018-07-01,2,0.0,0.2999999999999998,-0.40000000000000036
2018-10-01,Alabama,4.1,4.1,4.1,3.9,3.8,3.8,3.7,3.7,3.5,3.5,3.6,3.8,4.2,2018-08-01,2,0.0,0.19999999999999973,-0.10000000000000053
2018-11-01,Alabama,4.1,4.1,4.1,4.1,3.9,3.8,3.8,3.7,3.7,3.5,3.5,3.6,3.8,2018-09-01,2,0.0,0.0,0.2999999999999998
2018-12-01,Alabama,4.1,4.1,4.1,4.1,4.1,3.9,3.8,3.8,3.7,3.7,3.5,3.5,3.6,2018-10-01,2,0.0,0.0,0.49999999999999956
2019-01-01,Alabama,4.0,4.1,4.1,4.1,4.1,4.1,3.9,3.8,3.8,3.7,3.7,3.5,3.5,2018-11-01,2,-0.09999999999999964,-0.09999999999999964,0.5
2019-02-01,Alabama,3.9,4.0,4.1,4.1,4.1,4.1,4.1,3.9,3.8,3.8,3.7,3.7,3.5,2018-12-01,2,-0.10000000000000009,-0.19999999999999973,0.3999999999999999
2019-03-01,Alabama,3.9,4.0,4.1,4.1,4.1,4.1,4.1,3.9,3.8,3.8,3.7,3.7,3.5,2018-12-01,3,-0.10000000000000009,-0.19999999999999973,0.3999999999999999
2019-04-01,Alabama,3.7,3.8,3.9,4.0,4.1,4.1,4.1,4.1,4.1,3.9,3.8,3.8,3.7,2019-02-01,2,-0.09999999999999964,-0.2999999999999998,0.0
2019-05-01,Alabama,3.7,3.7,3.8,3.9,4.0,4.1,4.1,4.1,4.1,4.1,3.9,3.8,3.8,2019-03-01,2,0.0,-0.19999999999999973,-0.09999999999999964
2019-06-01,Alabama,3.8,3.7,3.7,3.8,3.9,4.0,4.1,4.1,4.1,4.1,4.1,3.9,3.8,2019-04-01,2,0.09999999999999964,0.0,0.0
2019-07-01,Alabama,3.7,3.8,3.7,3.7,3.8,3.9,4.0,4.1,4.1,4.1,4.1,4.1,3.9,2019-05-01,2,-0.09999999999999964,0.0,-0.19999999999999973
2019-08-01,Alabama,3.5,3.7,3.8,3.7,3.7,3.8,3.9,4.0,4.1,4.1,4.1,4.1,4.1,2019-06-01,2,-0.20000000000000018,-0.20000000000000018,-0.5999999999999996
2019-09-01,Alabama,3.3,3.5,3.7,3.8,3.7,3.7,3.8,3.9,4.0,4.1,4.1,4.1,4.1,2019-07-01,2,-0.20000000000000018,-0.5,-0.7999999999999998
2019-10-01,Alabama,3.1,3.3,3.5,3.7,3.8,3.7,3.7,3.8,3.9,4.0,4.1,4.1,4.1,2019-08-01,2,-0.19999999999999973,-0.6000000000000001,-0.9999999999999996
2019-11-01,Alabama,3.0,3.1,3.3,3.5,3.7,3.8,3.7,3.7,3.8,3.9,4.0,4.1,4.1,2019-09-01,2,-0.10000000000000009,-0.5,-1.0999999999999996
2019-12-01,Alabama,2.8,3.0,3.1,3.3,3.5,3.7,3.8,3.7,3.7,3.8,3.9,4.0,4.1,2019-10-01,2,-0.20000000000000018,-0.5,-1.2999999999999998
2020-01-01,Alabama,2.7,2.8,3.0,3.1,3.3,3.5,3.7,3.8,3.7,3.7,3.8,3.9,4.0,2019-11-01,2,-0.09999999999999964,-0.3999999999999999,-1.2999999999999998
2020-02-01,Alabama,2.7,2.7,2.8,3.0,3.1,3.3,3.5,3.7,3.8,3.7,3.7,3.8,3.9,2019-12-01,2,0.0,-0.2999999999999998,-1.1999999999999997
2020-03-01,Alabama,2.7,2.7,2.8,3.0,3.1,3.3,3.5,3.7,3.8,3.7,3.7,3.8,3.9,2019-12-01,3,0.0,-0.2999999999999998,-1.1999999999999997
