state,abbr,fips,obs_date,first_release_date,value_first_release,is_current,pub_lag_days
Alabama,AL,01,2007-06-01,2007-07-20,2011.5,False,49
Alabama,AL,01,2007-07-01,2007-08-17,2011.6,False,47
Alabama,AL,01,2007-08-01,2007-09-25,2017.0,False,55
Alabama,AL,01,2007-09-01,2007-10-19,2019.0,False,48
Alabama,AL,01,2007-10-01,2007-11-20,2015.8,False,50
Alabama,AL,01,2007-11-01,2007-12-21,2018.7,False,50
Alabama,AL,01,2007-12-01,2008-01-18,2021.7,False,48
Alabama,AL,01,2008-01-01,2008-03-11,2016.8,False,70
Alabama,AL,01,2008-02-01,2008-03-28,2016.2,False,56
Alabama,AL,01,2008-03-01,2008-04-18,2014.8,False,48
Alabama,AL,01,2008-04-01,2008-05-16,2013.3,False,45
Alabama,AL,01,2008-05-01,2008-06-20,2011.5,False,50
Alabama,AL,01,2008-06-01,2008-07-18,2012.9,False,47
Alabama,AL,01,2008-07-01,2008-08-15,2015.3,False,45
Alabama,AL,01,2008-08-01,2008-09-19,2014.7,False,49
Alabama,AL,01,2008-09-01,2008-10-21,2011.1,False,50
Alabama,AL,01,2008-10-01,2008-11-21,2008.9,False,51
Alabama,AL,01,2008-11-01,2008-12-19,2000.4,False,48
Alabama,AL,01,2008-12-01,2009-01-27,1976.3,False,57
Alabama,AL,01,2009-01-01,2009-03-11,1939.1,False,69
Alabama,AL,01,2009-02-01,2009-03-27,1928.7,False,54
Alabama,AL,01,2009-03-01,2009-04-17,1920.3,False,47
Alabama,AL,01,2009-04-01,2009-05-22,1912.1,False,51
Alabama,AL,01,2009-05-01,2009-06-19,1910.2,False,49
Alabama,AL,01,2009-06-01,2009-07-17,1909.8,False,46
Alabama,AL,01,2009-07-01,2009-08-21,1907.6,False,51
Alabama,AL,01,2009-08-01,2009-09-18,1895.8,False,48
Alabama,AL,01,2009-09-01,2009-10-21,1894.5,False,50
Alabama,AL,01,2009-10-01,2009-11-20,1901.6,False,50
Alabama,AL,01,2009-11-01,2009-12-18,1897.4,False,47
Alabama,AL,01,2009-12-01,2010-01-22,1888.5,False,52
Alabama,AL,01,2010-01-01,2010-03-10,1850.2,False,68
Alabama,AL,01,2010-02-01,2010-03-26,1860.0,False,53
Alabama,AL,01,2010-03-01,2010-04-16,1856.8,False,46
Alabama,AL,01,2010-04-01,2010-05-21,1868.4,False,50
Alabama,AL,01,2010-05-01,2010-06-18,1877.6,False,48
Alabama,AL,01,2010-06-01,2010-07-20,1872.5,False,49
Alabama,AL,01,2010-07-01,2010-08-20,1872.5,False,50
Alabama,AL,01,2010-08-01,2010-09-21,1870.7,False,51
Alabama,AL,01,2010-09-01,2010-10-22,1872.3,False,51
Alabama,AL,01,2010-10-01,2010-11-23,1874.5,False,53
Alabama,AL,01,2010-11-01,2010-12-17,1871.4,False,46
Alabama,AL,01,2010-12-01,2011-01-25,1857.6,False,55
Alabama,AL,01,2011-01-01,2011-03-10,1859.9,False,68
Alabama,AL,01,2011-02-01,2011-03-25,1869.7,False,52
Alabama,AL,01,2011-03-01,2011-04-19,1874.1,False,49
Alabama,AL,01,2011-04-01,2011-05-20,1873.6,False,49
Alabama,AL,01,2011-05-01,2011-06-17,1873.5,False,47
Alabama,AL,01,2011-06-01,2011-07-22,1870.1,False,51
Alabama,AL,01,2011-07-01,2011-08-19,1871.4,False,49
Alabama,AL,01,2011-08-01,2011-09-16,1867.8,False,46
Alabama,AL,01,2011-09-01,2011-10-21,1870.0,False,50
Alabama,AL,01,2011-10-01,2011-11-22,1873.8,False,52
Alabama,AL,01,2011-11-01,2011-12-20,1870.6,False,49
Alabama,AL,01,2011-12-01,2012-01-24,1873.2,False,54
Alabama,AL,01,2012-01-01,2012-03-13,1862.6,False,72
Alabama,AL,01,2012-02-01,2012-03-30,1871.4,False,58
Alabama,AL,01,2012-03-01,2012-04-20,1869.7,False,50
Alabama,AL,01,2012-04-01,2012-05-18,1874.3,False,47
Alabama,AL,01,2012-05-01,2012-06-15,1873.2,False,45
Alabama,AL,01,2012-06-01,2012-07-20,1867.2,False,49
Alabama,AL,01,2012-07-01,2012-08-17,1875.6,False,47
Alabama,AL,01,2012-08-01,2012-09-21,1876.1,False,51
Alabama,AL,01,2012-09-01,2012-10-19,1878.3,False,48
Alabama,AL,01,2012-10-01,2012-11-20,1881.5,False,50
Alabama,AL,01,2012-11-01,2012-12-21,1881.7,False,50
Alabama,AL,01,2012-12-01,2013-01-18,1878.1,False,48
Alabama,AL,01,2013-01-01,2013-03-18,1881.2,False,76
Alabama,AL,01,2013-02-01,2013-03-29,1887.0,False,56
Alabama,AL,01,2013-03-01,2013-04-19,1888.3,False,49
Alabama,AL,01,2013-04-01,2013-05-17,1892.5,False,46
Alabama,AL,01,2013-05-01,2013-06-21,1895.3,False,51
Alabama,AL,01,2013-06-01,2013-07-19,1904.7,False,48
Alabama,AL,01,2013-07-01,2013-08-19,1898.1,False,49
Alabama,AL,01,2013-08-01,2013-09-20,1897.0,False,50
Alabama,AL,01,2013-09-01,2013-11-22,1881.1,False,82
Alabama,AL,01,2013-10-01,2013-11-22,1886.3,False,52
Alabama,AL,01,2013-11-01,2013-12-20,1890.0,False,49
Alabama,AL,01,2013-12-01,2014-01-28,1894.9,False,58
Alabama,AL,01,2014-01-01,2014-03-17,1908.4,False,75
Alabama,AL,01,2014-02-01,2014-03-28,1911.3,False,55
Alabama,AL,01,2014-03-01,2014-04-18,1912.8,False,48
Alabama,AL,01,2014-04-01,2014-05-16,1914.0,False,45
Alabama,AL,01,2014-05-01,2014-06-20,1914.4,False,50
Alabama,AL,01,2014-06-01,2014-07-18,1909.9,False,47
Alabama,AL,01,2014-07-01,2014-08-18,1919.8,False,48
Alabama,AL,01,2014-08-01,2014-09-19,1926.5,False,49
Alabama,AL,01,2014-09-01,2014-10-21,1939.2,False,50
Alabama,AL,01,2014-10-01,2014-11-21,1942.4,False,51
Alabama,AL,01,2014-11-01,2014-12-19,1946.0,False,48
Alabama,AL,01,2014-12-01,2015-01-27,1948.2,False,57
Alabama,AL,01,2015-01-01,2015-03-17,1945.2,False,75
Alabama,AL,01,2015-02-01,2015-03-27,1944.5,False,54
Alabama,AL,01,2015-03-01,2015-04-21,1938.6,False,51
Alabama,AL,01,2015-04-01,2015-05-27,1943.1,False,56
Alabama,AL,01,2015-05-01,2015-06-19,1948.1,False,49
Alabama,AL,01,2015-06-01,2015-07-21,1945.2,False,50
Alabama,AL,01,2015-07-01,2015-08-21,1950.5,False,51
Alabama,AL,01,2015-08-01,2015-09-18,1953.2,False,48
Alabama,AL,01,2015-09-01,2015-10-20,1957.6,False,49
Alabama,AL,01,2015-10-01,2015-11-20,1958.9,False,50
Alabama,AL,01,2015-11-01,2015-12-18,1965.2,False,47
Alabama,AL,01,2015-12-01,2016-01-26,1963.1,False,56
Alabama,AL,01,2016-01-01,2016-03-14,1951.3,False,73
Alabama,AL,01,2016-02-01,2016-03-25,1959.8,False,53
Alabama,AL,01,2016-03-01,2016-04-15,1959.7,False,45
Alabama,AL,01,2016-04-01,2016-05-20,1965.6,False,49
Alabama,AL,01,2016-05-01,2016-06-17,1967.0,False,47
Alabama,AL,01,2016-06-01,2016-07-22,1966.3,False,51
Alabama,AL,01,2016-07-01,2016-08-19,1962.3,False,49
Alabama,AL,01,2016-08-01,2016-09-20,1971.1,False,50
Alabama,AL,01,2016-09-01,2016-10-21,1967.4,False,50
Alabama,AL,01,2016-10-01,2016-11-18,1974.6,False,48
Alabama,AL,01,2016-11-01,2016-12-16,1976.1,False,45
Alabama,AL,01,2016-12-01,2017-01-24,1976.2,False,54
Alabama,AL,01,2017-01-01,2017-03-13,1995.3,False,71
Alabama,AL,01,2017-02-01,2017-03-24,1996.6,False,51
Alabama,AL,01,2017-03-01,2017-04-21,1996.2,False,51
Alabama,AL,01,2017-04-01,2017-05-19,1997.9,False,48
Alabama,AL,01,2017-05-01,2017-06-16,2007.2,False,46
Alabama,AL,01,2017-06-01,2017-07-21,2010.7,False,50
Alabama,AL,01,2017-07-01,2017-08-18,2008.1,False,48
Alabama,AL,01,2017-08-01,2017-09-15,2004.8,False,45
Alabama,AL,01,2017-09-01,2017-10-20,2009.1,False,49
Alabama,AL,01,2017-10-01,2017-11-17,2012.2,False,47
Alabama,AL,01,2017-11-01,2017-12-22,2016.9,False,51
Alabama,AL,01,2017-12-01,2018-01-23,2017.8,False,53
Alabama,AL,01,2018-01-01,2018-03-12,2025.1,False,70
Alabama,AL,01,2018-02-01,2018-03-23,2029.3,False,50
