state,abbr,fips,claim_type,obs_date,first_release_date,value_first_release,is_current,pub_lag_days,value_current,revision,revision_pct
Alabama,AL,01,cclaims,2019-12-28,2020-01-16,19960.0,False,19,18523.0,-1437.0,-7.199398797595189
Alabama,AL,01,cclaims,2020-01-04,2020-01-23,20914.0,False,19,21143.0,229.0,1.0949603136654873
Alabama,AL,01,cclaims,2020-01-11,2020-01-30,18329.0,False,19,17402.0,-927.0,-5.057559059414044
Alabama,AL,01,cclaims,2020-01-18,2020-02-06,17789.0,False,19,18390.0,601.0,3.3784923267187588
Alabama,AL,01,cclaims,2020-01-25,2020-02-13,16450.0,False,19,17284.0,834.0,5.069908814589666
Alabama,AL,01,cclaims,2020-02-01,2020-02-20,16911.0,False,19,16745.0,-166.0,-0.9816096032168412
Alabama,AL,01,cclaims,2020-02-08,2020-02-27,16327.0,False,19,16571.0,244.0,1.4944570343602621
Alabama,AL,01,cclaims,2020-02-15,2020-03-05,16375.0,False,19,16059.0,-316.0,-1.9297709923664121
Alabama,AL,01,cclaims,2020-02-22,2020-03-12,16757.0,False,19,14721.0,-2036.0,-12.150146207555052
Alabama,AL,01,cclaims,2020-02-29,2020-03-19,15777.0,False,19,13657.0,-2120.0,-13.437282119541106
Alabama,AL,01,cclaims,2021-06-26,2021-07-12,36528.0,False,16,15753.0,-20775.0,-56.874178712220754
Alabama,AL,01,cclaims,2021-07-03,2021-07-16,29126.0,False,13,12618.0,-16508.0,-56.67788230447023
Alabama,AL,01,cclaims,2021-07-10,2021-07-23,24617.0,False,13,11907.0,-12710.0,-51.63098671649673
Alabama,AL,01,cclaims,2021-07-17,2021-08-02,19691.0,False,16,9708.0,-9983.0,-50.69828855822457
Alabama,AL,01,cclaims,2024-07-06,2024-07-19,12489.0,False,13,12415.0,-74.0,-0.5925214188485868
Alabama,AL,01,cclaims,2024-11-02,2024-11-15,8420.0,False,13,8327.0,-93.0,-1.1045130641330165
Alabama,AL,01,cclaims,2024-11-09,2024-11-22,8486.0,False,13,8364.0,-122.0,-1.4376620315814281
Alabama,AL,01,cclaims,2024-11-16,2024-11-29,8567.0,False,13,8626.0,59.0,0.6886891560639664
Alabama,AL,01,cclaims,2024-12-14,2024-12-27,8708.0,False,13,8780.0,72.0,0.8268259072117593
Alabama,AL,01,cclaims,2025-11-15,2025-11-28,8488.0,False,13,9169.0,681.0,8.023091423185674
Alaska,AK,02,cclaims,2016-06-18,2016-07-07,9280.0,False,19,9505.0,225.0,2.4245689655172415
Alaska,AK,02,cclaims,2020-05-02,2020-05-21,50971.0,False,19,50791.0,-180.0,-0.35314198269604286
Alaska,AK,02,cclaims,2023-07-08,2023-07-21,3365.0,False,13,3491.0,126.0,3.7444279346210996
Arizona,AZ,04,cclaims,2016-10-22,2016-11-10,28653.0,False,19,28652.0,-1.0,-0.0034900359473702576
Arizona,AZ,04,cclaims,2016-10-29,2016-11-17,27986.0,False,19,27985.0,-1.0,-0.00357321517901808
Arizona,AZ,04,cclaims,2016-11-05,2016-11-25,25763.0,False,20,25764.0,1.0,0.0038815355354578267
Arizona,AZ,04,cclaims,2021-01-23,2021-02-08,71445.0,False,16,71444.0,-1.0,-0.0013996780740429702
Arizona,AZ,04,cclaims,2021-03-13,2021-03-26,48151.0,False,13,48150.0,-1.0,-0.002076800066457602
Arizona,AZ,04,cclaims,2021-05-01,2021-05-14,55157.0,False,13,55156.0,-1.0,-0.0018130065086933663
Arizona,AZ,04,cclaims,2021-05-08,2021-05-21,55922.0,False,13,55921.0,-1.0,-0.0017882049998211795
Arizona,AZ,04,cclaims,2021-05-22,2021-06-04,54744.0,False,13,54743.0,-1.0,-0.0018266842028350138
Arizona,AZ,04,cclaims,2021-07-17,2021-08-02,41429.0,False,16,41428.0,-1.0,-0.0024137681334331024
Arizona,AZ,04,cclaims,2022-05-21,2022-06-03,18770.0,False,13,18769.0,-1.0,-0.005327650506126798
Arizona,AZ,04,cclaims,2022-06-04,2022-06-17,19967.0,False,13,19966.0,-1.0,-0.005008263634997747
Arizona,AZ,04,cclaims,2022-11-05,2022-11-18,17360.0,False,13,17359.0,-1.0,-0.00576036866359447
Arizona,AZ,04,cclaims,2023-07-29,2023-08-11,31101.0,False,13,31100.0,-1.0,-0.003215330696762162
Arizona,AZ,04,cclaims,2024-03-16,2024-03-29,22092.0,False,13,22091.0,-1.0,-0.004526525439072967
Arizona,AZ,04,cclaims,2024-08-03,2024-08-16,33132.0,False,13,33131.0,-1.0,-0.003018230109863576
Arizona,AZ,04,cclaims,2026-01-03,2026-01-16,132.0,False,13,17958.0,17826.0,13504.545454545454
Arizona,AZ,04,cclaims,2026-01-31,2026-02-13,15429.0,False,13,17810.0,2381.0,15.431978741331259
Arkansas,AR,05,cclaims,2010-08-28,2010-09-16,38948.0,False,19,38933.0,-15.0,-0.0385128889801787
Arkansas,AR,05,cclaims,2010-09-04,2010-09-23,37678.0,False,19,37622.0,-56.0,-0.14862784648866711
Arkansas,AR,05,cclaims,2010-09-11,2010-09-30,39042.0,False,19,39018.0,-24.0,-0.06147226064238512
Arkansas,AR,05,cclaims,2010-09-18,2010-10-07,37974.0,False,19,37959.0,-15.0,-0.03950071101279823
Arkansas,AR,05,cclaims,2012-01-28,2012-02-16,39660.0,False,19,39666.0,6.0,0.0151285930408472
Arkansas,AR,05,cclaims,2012-02-04,2012-02-23,38009.0,False,19,38013.0,4.0,0.010523823305006709
Arkansas,AR,05,cclaims,2012-02-11,2012-03-01,37292.0,False,19,37297.0,5.0,0.013407701383674782
Arkansas,AR,05,cclaims,2012-02-18,2012-03-08,36417.0,False,19,36419.0,2.0,0.0054919405772029545
Arkansas,AR,05,cclaims,2018-11-24,2018-12-13,12063.0,False,19,12039.0,-24.0,-0.19895548371051977
Arkansas,AR,05,cclaims,2018-12-01,2018-12-20,11319.0,False,19,11315.0,-4.0,-0.03533881084901493
Arkansas,AR,05,cclaims,2020-08-15,2020-08-28,477567.0,False,13,48069.0,-429498.0,-89.93460603433654
Arkansas,AR,05,cclaims,2021-06-26,2021-07-12,20204.0,False,16,20211.0,7.0,0.03464660463274599
Arkansas,AR,05,cclaims,2022-08-27,2022-09-09,7015.0,False,13,7655.0,640.0,9.123307198859587
Arkansas,AR,05,cclaims,2023-07-01,2023-07-14,10901.0,False,13,10682.0,-219.0,-2.0089900009173474
Arkansas,AR,05,cclaims,2024-02-17,2024-03-01,9523.0,False,13,9528.0,5.0,0.052504462879344745
California,CA,06,cclaims,2020-09-19,2020-10-02,2802145.0,False,13,2274592.0,-527553.0,-18.826755931616674
