as_of_date,state,latest_obs_date,vintage_lag_months,urate_t0,urate_t1,urate_t2,urate_t3,urate_t4,urate_t5,urate_mom1,urate_mom3,urate_mean3,urate_mean6
2006-01-01,Arkansas,2005-11-01,2,4.8,4.9,5.7,5.1,4.9,4.8,-0.10000000000000053,-0.2999999999999998,5.133333333333333,5.033333333333333
2006-01-01,Illinois,2005-11-01,2,5.3,5.5,5.7,5.8,6.0,6.0,-0.20000000000000018,-0.5,5.5,5.716666666666666
2006-01-01,Indiana,2005-11-01,2,5.3,5.4,5.3,5.4,5.4,5.1,-0.10000000000000053,-0.10000000000000053,5.333333333333333,5.316666666666666
2006-01-01,Kentucky,2005-11-01,2,6.2,6.0,5.7,5.4,5.9,5.7,0.20000000000000018,0.7999999999999998,5.966666666666666,5.816666666666666
2006-01-01,Mississippi,2005-11-01,2,9.5,9.6,9.6,6.8,6.5,7.0,-0.09999999999999964,2.7,9.566666666666668,8.166666666666666
2006-01-01,Missouri,2005-11-01,2,5.6,5.0,4.8,4.6,5.6,5.4,0.5999999999999996,1.0,5.133333333333333,5.166666666666667
2006-01-01,Tennessee,2005-11-01,2,5.8,5.6,5.1,5.3,5.5,6.0,0.20000000000000018,0.5,5.5,5.55
2006-02-01,Arkansas,2005-12-01,2,4.5,4.8,4.9,5.7,5.1,4.9,-0.2999999999999998,-1.2000000000000002,4.733333333333333,4.983333333333333
2006-02-01,Illinois,2005-12-01,2,5.5,5.3,5.5,5.7,5.8,6.0,0.20000000000000018,-0.20000000000000018,5.433333333333334,5.633333333333333
2006-02-01,Indiana,2005-12-01,2,5.5,5.3,5.4,5.3,5.4,5.4,0.20000000000000018,0.20000000000000018,5.400000000000001,5.383333333333334
2006-02-01,Kentucky,2005-12-01,2,6.3,6.2,6.0,5.7,5.4,5.9,0.09999999999999964,0.5999999999999996,6.166666666666667,5.916666666666667
2006-02-01,Mississippi,2005-12-01,2,9.9,9.5,9.6,9.6,6.8,6.5,0.40000000000000036,0.3000000000000007,9.666666666666666,8.65
2006-02-01,Missouri,2005-12-01,2,5.1,5.6,5.0,4.8,4.6,5.6,-0.5,0.2999999999999998,5.233333333333333,5.116666666666667
2006-02-01,Tennessee,2005-12-01,2,5.4,5.8,5.6,5.1,5.3,5.5,-0.39999999999999947,0.3000000000000007,5.599999999999999,5.45
2006-03-01,Arkansas,2005-12-01,3,4.5,4.8,4.9,5.7,5.1,4.9,-0.2999999999999998,-1.2000000000000002,4.733333333333333,4.983333333333333
2006-03-01,Illinois,2005-12-01,3,5.5,5.3,5.5,5.7,5.8,6.0,0.20000000000000018,-0.20000000000000018,5.433333333333334,5.633333333333333
