state,abbr,fips,obs_date,first_release_date,value_first_release,is_current,pub_lag_days,rel_year,value_current,revision
Alabama,AL,01,2007-06-01,2007-07-20,3.5,False,49,2007,4.0,0.5
Alabama,AL,01,2007-07-01,2007-08-17,3.7,False,47,2007,4.0,0.2999999999999998
Alabama,AL,01,2007-08-01,2007-09-25,3.8,False,55,2007,4.1,0.2999999999999998
Alabama,AL,01,2007-09-01,2007-10-19,3.7,False,48,2007,4.2,0.5
Alabama,AL,01,2007-10-01,2007-11-20,3.1,False,50,2007,4.2,1.1
Alabama,AL,01,2007-11-01,2007-12-21,3.5,False,50,2007,4.3,0.7999999999999998
Alabama,AL,01,2007-12-01,2008-01-18,4.0,False,48,2008,4.5,0.5
Alabama,AL,01,2008-01-01,2008-03-11,4.0,False,70,2008,4.6,0.5999999999999996
Alabama,AL,01,2008-02-01,2008-03-28,3.7,False,56,2008,4.7,1.0
Alabama,AL,01,2008-03-01,2008-04-18,4.1,False,48,2008,4.9,0.8000000000000007
Alabama,AL,01,2008-04-01,2008-05-16,4.0,False,45,2008,5.2,1.2000000000000002
Alabama,AL,01,2008-05-01,2008-06-20,4.7,False,50,2008,5.4,0.7000000000000002
Alabama,AL,01,2008-06-01,2008-07-18,4.7,False,47,2008,5.7,1.0
Alabama,AL,01,2008-07-01,2008-08-15,5.1,False,45,2008,6.0,0.9000000000000004
Alabama,AL,01,2008-08-01,2008-09-19,4.9,False,49,2008,6.3,1.3999999999999995
Alabama,AL,01,2008-09-01,2008-10-21,5.3,False,50,2008,6.5,1.2000000000000002
Alabama,AL,01,2008-10-01,2008-11-21,5.6,False,51,2008,6.9,1.3000000000000007
Alabama,AL,01,2008-11-01,2008-12-19,6.1,False,48,2008,7.2,1.1000000000000005
Alabama,AL,01,2008-12-01,2009-01-27,6.7,False,57,2009,7.6,0.8999999999999995
Alabama,AL,01,2009-01-01,2009-03-11,7.8,False,69,2009,8.0,0.20000000000000018
Alabama,AL,01,2009-02-01,2009-03-27,8.4,False,54,2009,8.4,0.0
Alabama,AL,01,2009-03-01,2009-04-17,9.0,False,47,2009,8.8,-0.1999999999999993
Alabama,AL,01,2009-04-01,2009-05-22,9.0,False,51,2009,9.1,0.09999999999999964
Alabama,AL,01,2009-05-01,2009-06-19,9.8,False,49,2009,9.4,-0.40000000000000036
Alabama,AL,01,2009-06-01,2009-07-17,10.1,False,46,2009,9.7,-0.40000000000000036
Alabama,AL,01,2009-07-01,2009-08-21,10.2,False,51,2009,10.0,-0.1999999999999993
Alabama,AL,01,2009-08-01,2009-09-18,10.4,False,48,2009,10.3,-0.09999999999999964
