state,abbr,adjustment,obs_date,value_current
Alabama,AL,sa,1990-01-01,1635.5
Alabama,AL,sa,1990-02-01,1633.5
Alabama,AL,sa,1990-03-01,1632.0
Alabama,AL,sa,1990-04-01,1643.7
Alabama,AL,sa,1990-05-01,1648.9
Alabama,AL,sa,1990-06-01,1650.5
Alabama,AL,sa,1990-07-01,1652.1
Alabama,AL,sa,1990-08-01,1649.8
Alabama,AL,sa,1990-09-01,1651.3
Alabama,AL,sa,1990-10-01,1647.1
Alabama,AL,sa,1990-11-01,1648.3
Alabama,AL,sa,1990-12-01,1648.0
Alabama,AL,sa,1991-01-01,1646.0
Alabama,AL,sa,1991-02-01,1641.6
Alabama,AL,sa,1991-03-01,1644.3
Alabama,AL,sa,1991-04-01,1644.5
Alabama,AL,sa,1991-05-01,1646.6
Alabama,AL,sa,1991-06-01,1648.0
Alabama,AL,sa,1991-07-01,1654.3
Alabama,AL,sa,1991-08-01,1655.3
Alabama,AL,sa,1991-09-01,1656.7
Alabama,AL,sa,1991-10-01,1658.9
Alabama,AL,sa,1991-11-01,1658.1
Alabama,AL,sa,1991-12-01,1659.2
Alabama,AL,sa,1992-01-01,1666.5
Alabama,AL,sa,1992-02-01,1668.1
Alabama,AL,sa,1992-03-01,1670.7
Alabama,AL,sa,1992-04-01,1671.4
Alabama,AL,sa,1992-05-01,1679.8
Alabama,AL,sa,1992-06-01,1679.0
Alabama,AL,sa,1992-07-01,1683.4
Alabama,AL,sa,1992-08-01,1696.7
Alabama,AL,sa,1992-09-01,1686.8
Alabama,AL,sa,1992-10-01,1697.5
Alabama,AL,sa,1992-11-01,1699.7
Alabama,AL,sa,1992-12-01,1703.3
Alabama,AL,sa,1993-01-01,1705.9
Alabama,AL,sa,1993-02-01,1713.6
Alabama,AL,sa,1993-03-01,1712.9
Alabama,AL,sa,1993-04-01,1721.2
Alabama,AL,sa,1993-05-01,1722.8
Alabama,AL,sa,1993-06-01,1726.2
Alabama,AL,sa,1993-07-01,1727.2
Alabama,AL,sa,1993-08-01,1732.0
Alabama,AL,sa,1993-09-01,1729.7
Alabama,AL,sa,1993-10-01,1741.3
Alabama,AL,sa,1993-11-01,1742.1
Alabama,AL,sa,1993-12-01,1744.7
Alabama,AL,sa,1994-01-01,1744.2
Alabama,AL,sa,1994-02-01,1746.5
Alabama,AL,sa,1994-03-01,1752.3
Alabama,AL,sa,1994-04-01,1754.9
Alabama,AL,sa,1994-05-01,1757.6
Alabama,AL,sa,1994-06-01,1767.4
Alabama,AL,sa,1994-07-01,1768.6
Alabama,AL,sa,1994-08-01,1776.6
Alabama,AL,sa,1994-09-01,1785.4
Alabama,AL,sa,1994-10-01,1783.3
Alabama,AL,sa,1994-11-01,1803.6
Alabama,AL,sa,1994-12-01,1794.6
Alabama,AL,sa,1995-01-01,1804.1
Alabama,AL,sa,1995-02-01,1805.2
Alabama,AL,sa,1995-03-01,1808.5
Alabama,AL,sa,1995-04-01,1810.2
Alabama,AL,sa,1995-05-01,1811.5
Alabama,AL,sa,1995-06-01,1818.8
Alabama,AL,sa,1995-07-01,1813.2
Alabama,AL,sa,1995-08-01,1818.0
Alabama,AL,sa,1995-09-01,1819.8
Alabama,AL,sa,1995-10-01,1821.9
Alabama,AL,sa,1995-11-01,1826.5
Alabama,AL,sa,1995-12-01,1829.3
Alabama,AL,sa,1996-01-01,1829.1
Alabama,AL,sa,1996-02-01,1830.1
Alabama,AL,sa,1996-03-01,1833.1
Alabama,AL,sa,1996-04-01,1833.5
Alabama,AL,sa,1996-05-01,1835.8
Alabama,AL,sa,1996-06-01,1835.4
Alabama,AL,sa,1996-07-01,1839.6
Alabama,AL,sa,1996-08-01,1844.6
Alabama,AL,sa,1996-09-01,1846.1
Alabama,AL,sa,1996-10-01,1852.5
Alabama,AL,sa,1996-11-01,1857.6
Alabama,AL,sa,1996-12-01,1857.4
Alabama,AL,sa,1997-01-01,1864.9
Alabama,AL,sa,1997-02-01,1866.0
Alabama,AL,sa,1997-03-01,1872.6
Alabama,AL,sa,1997-04-01,1874.5
Alabama,AL,sa,1997-05-01,1876.9
Alabama,AL,sa,1997-06-01,1876.3
Alabama,AL,sa,1997-07-01,1880.1
Alabama,AL,sa,1997-08-01,1878.5
Alabama,AL,sa,1997-09-01,1883.6
Alabama,AL,sa,1997-10-01,1888.8
Alabama,AL,sa,1997-11-01,1892.0
Alabama,AL,sa,1997-12-01,1893.4
Alabama,AL,sa,1998-01-01,1896.6
Alabama,AL,sa,1998-02-01,1900.1
Alabama,AL,sa,1998-03-01,1902.7
Alabama,AL,sa,1998-04-01,1912.5
Alabama,AL,sa,1998-05-01,1915.5
Alabama,AL,sa,1998-06-01,1921.8
Alabama,AL,sa,1998-07-01,1905.6
Alabama,AL,sa,1998-08-01,1913.3
Alabama,AL,sa,1998-09-01,1916.1
Alabama,AL,sa,1998-10-01,1915.2
Alabama,AL,sa,1998-11-01,1917.5
Alabama,AL,sa,1998-12-01,1919.4
Alabama,AL,sa,1999-01-01,1921.8
Alabama,AL,sa,1999-02-01,1927.5
Alabama,AL,sa,1999-03-01,1930.2
Alabama,AL,sa,1999-04-01,1929.5
Alabama,AL,sa,1999-05-01,1930.4
Alabama,AL,sa,1999-06-01,1934.0
Alabama,AL,sa,1999-07-01,1935.7
Alabama,AL,sa,1999-08-01,1935.5
Alabama,AL,sa,1999-09-01,1939.6
Alabama,AL,sa,1999-10-01,1939.1
Alabama,AL,sa,1999-11-01,1940.6
Alabama,AL,sa,1999-12-01,1944.0
Alabama,AL,sa,2000-01-01,1944.7
Alabama,AL,sa,2000-02-01,1943.0
Alabama,AL,sa,2000-03-01,1949.2
Alabama,AL,sa,2000-04-01,1945.0
Alabama,AL,sa,2000-05-01,1953.7
Alabama,AL,sa,2000-06-01,1949.7
Alabama,AL,sa,2000-07-01,1945.6
Alabama,AL,sa,2000-08-01,1949.6
Alabama,AL,sa,2000-09-01,1950.5
Alabama,AL,sa,2000-10-01,1946.0
Alabama,AL,sa,2000-11-01,1944.9
Alabama,AL,sa,2000-12-01,1945.0
Alabama,AL,sa,2001-01-01,1934.5
Alabama,AL,sa,2001-02-01,1936.9
Alabama,AL,sa,2001-03-01,1933.3
Alabama,AL,sa,2001-04-01,1932.4
Alabama,AL,sa,2001-05-01,1928.4
Alabama,AL,sa,2001-06-01,1924.8
Alabama,AL,sa,2001-07-01,1918.7
Alabama,AL,sa,2001-08-01,1922.0
Alabama,AL,sa,2001-09-01,1919.9
Alabama,AL,sa,2001-10-01,1913.1
Alabama,AL,sa,2001-11-01,1911.1
Alabama,AL,sa,2001-12-01,1909.8
Alabama,AL,sa,2002-01-01,1899.6
Alabama,AL,sa,2002-02-01,1901.2
Alabama,AL,sa,2002-03-01,1901.2
Alabama,AL,sa,2002-04-01,1901.6
Alabama,AL,sa,2002-05-01,1898.2
Alabama,AL,sa,2002-06-01,1894.8
Alabama,AL,sa,2002-07-01,1894.3
Alabama,AL,sa,2002-08-01,1896.6
Alabama,AL,sa,2002-09-01,1899.6
Alabama,AL,sa,2002-10-01,1900.3
Alabama,AL,sa,2002-11-01,1900.4
Alabama,AL,sa,2002-12-01,1896.9
Alabama,AL,sa,2003-01-01,1895.6
Alabama,AL,sa,2003-02-01,1895.4
Alabama,AL,sa,2003-03-01,1894.1
Alabama,AL,sa,2003-04-01,1892.6
Alabama,AL,sa,2003-05-01,1889.9
Alabama,AL,sa,2003-06-01,1884.3
Alabama,AL,sa,2003-07-01,1885.1
Alabama,AL,sa,2003-08-01,1886.6
Alabama,AL,sa,2003-09-01,1889.1
Alabama,AL,sa,2003-10-01,1892.3
Alabama,AL,sa,2003-11-01,1894.1
Alabama,AL,sa,2003-12-01,1894.7
Alabama,AL,sa,2004-01-01,1900.2
Alabama,AL,sa,2004-02-01,1903.2
Alabama,AL,sa,2004-03-01,1904.7
Alabama,AL,sa,2004-04-01,1909.9
Alabama,AL,sa,2004-05-01,1911.5
Alabama,AL,sa,2004-06-01,1915.0
Alabama,AL,sa,2004-07-01,1920.7
Alabama,AL,sa,2004-08-01,1922.3
Alabama,AL,sa,2004-09-01,1920.1
Alabama,AL,sa,2004-10-01,1928.6
Alabama,AL,sa,2004-11-01,1932.3
Alabama,AL,sa,2004-12-01,1936.3
Alabama,AL,sa,2005-01-01,1938.8
Alabama,AL,sa,2005-02-01,1941.3
Alabama,AL,sa,2005-03-01,1943.9
Alabama,AL,sa,2005-04-01,1953.7
Alabama,AL,sa,2005-05-01,1956.2
Alabama,AL,sa,2005-06-01,1955.0
Alabama,AL,sa,2005-07-01,1963.0
Alabama,AL,sa,2005-08-01,1966.5
