state,abbr,series,obs_date,value_current
Alabama,AL,ur,1976-01-01,6.7
Alabama,AL,ur,1976-02-01,6.6
Alabama,AL,ur,1976-03-01,6.6
Alabama,AL,ur,1976-04-01,6.5
Alabama,AL,ur,1976-05-01,6.4
Alabama,AL,ur,1976-06-01,6.5
Alabama,AL,ur,1976-07-01,6.5
Alabama,AL,ur,1976-08-01,6.7
Alabama,AL,ur,1976-09-01,6.8
Alabama,AL,ur,1976-10-01,6.9
Alabama,AL,ur,1976-11-01,7.0
Alabama,AL,ur,1976-12-01,7.1
Alabama,AL,ur,1977-01-01,7.2
Alabama,AL,ur,1977-02-01,7.3
Alabama,AL,ur,1977-03-01,7.4
Alabama,AL,ur,1977-04-01,7.5
Alabama,AL,ur,1977-05-01,7.5
Alabama,AL,ur,1977-06-01,7.4
Alabama,AL,ur,1977-07-01,7.3
Alabama,AL,ur,1977-08-01,7.1
Alabama,AL,ur,1977-09-01,6.9
Alabama,AL,ur,1977-10-01,6.8
Alabama,AL,ur,1977-11-01,6.6
Alabama,AL,ur,1977-12-01,6.5
Alabama,AL,ur,1978-01-01,6.4
Alabama,AL,ur,1978-02-01,6.4
Alabama,AL,ur,1978-03-01,6.3
Alabama,AL,ur,1978-04-01,6.3
Alabama,AL,ur,1978-05-01,6.2
Alabama,AL,ur,1978-06-01,6.3
Alabama,AL,ur,1978-07-01,6.3
Alabama,AL,ur,1978-08-01,6.4
Alabama,AL,ur,1978-09-01,6.6
Alabama,AL,ur,1978-10-01,6.7
Alabama,AL,ur,1978-11-01,6.7
Alabama,AL,ur,1978-12-01,6.8
Alabama,AL,ur,1979-01-01,6.9
Alabama,AL,ur,1979-02-01,6.9
Alabama,AL,ur,1979-03-01,7.0
Alabama,AL,ur,1979-04-01,7.1
Alabama,AL,ur,1979-05-01,7.1
Alabama,AL,ur,1979-06-01,7.2
Alabama,AL,ur,1979-07-01,7.3
Alabama,AL,ur,1979-08-01,7.4
Alabama,AL,ur,1979-09-01,7.4
Alabama,AL,ur,1979-10-01,7.5
Alabama,AL,ur,1979-11-01,7.5
Alabama,AL,ur,1979-12-01,7.5
Alabama,AL,ur,1980-01-01,7.6
Alabama,AL,ur,1980-02-01,7.8
Alabama,AL,ur,1980-03-01,8.0
Alabama,AL,ur,1980-04-01,8.3
Alabama,AL,ur,1980-05-01,8.5
Alabama,AL,ur,1980-06-01,8.7
Alabama,AL,ur,1980-07-01,8.9
Alabama,AL,ur,1980-08-01,9.0
Alabama,AL,ur,1980-09-01,9.1
Alabama,AL,ur,1980-10-01,9.3
Alabama,AL,ur,1980-11-01,9.4
Alabama,AL,ur,1980-12-01,9.6
Alabama,AL,ur,1981-01-01,9.7
Alabama,AL,ur,1981-02-01,9.9
Alabama,AL,ur,1981-03-01,10.0
Alabama,AL,ur,1981-04-01,10.1
Alabama,AL,ur,1981-05-01,10.2
Alabama,AL,ur,1981-06-01,10.4
Alabama,AL,ur,1981-07-01,10.6
Alabama,AL,ur,1981-08-01,10.9
Alabama,AL,ur,1981-09-01,11.3
Alabama,AL,ur,1981-10-01,11.7
Alabama,AL,ur,1981-11-01,12.0
Alabama,AL,ur,1981-12-01,12.3
Alabama,AL,ur,1982-01-01,12.6
Alabama,AL,ur,1982-02-01,12.9
Alabama,AL,ur,1982-03-01,13.1
Alabama,AL,ur,1982-04-01,13.3
Alabama,AL,ur,1982-05-01,13.6
Alabama,AL,ur,1982-06-01,13.8
Alabama,AL,ur,1982-07-01,14.0
Alabama,AL,ur,1982-08-01,14.2
Alabama,AL,ur,1982-09-01,14.3
Alabama,AL,ur,1982-10-01,14.5
